age,annual_income_inr,bank_balance_inr,education_level,purpose_of_visit,prior_approvals,english_level,legal_charges,visa_approved
70,1906800,1709600,masters,business,1,fluent,no,1
57,826600,345400,bachelors,business,0,fluent,no,1
62,638700,265200,bachelors,travel,10,good,no,1
24,350000,304700,high_school,travel,6,basic,no,0
37,919900,589900,bachelors,business,0,fluent,no,1
66,382900,325500,bachelors,travel,2,good,no,1
70,521300,321800,masters,travel,0,good,yes,0
45,1241200,415600,bachelors,education,4,good,no,1
68,834900,369900,masters,medical,2,fluent,no,1
71,825900,655900,masters,education,0,fluent,no,1
42,689300,356400,bachelors,business,2,fluent,no,1
74,1127700,768800,bachelors,business,7,fluent,no,1
36,1065300,292800,masters,medical,1,fluent,no,1
33,718200,323100,phd,business,0,good,no,1
60,512800,399800,bachelors,travel,8,good,no,1
58,679500,581500,bachelors,medical,0,good,no,0
26,893300,351300,bachelors,medical,2,good,no,1
70,953800,266500,masters,travel,2,fluent,no,1
30,1009200,169100,phd,education,0,fluent,no,1
68,1108600,272200,phd,travel,0,good,no,1
18,529700,411400,high_school,education,0,good,no,0
68,351800,173000,high_school,business,0,fluent,no,1
67,1788100,659300,masters,business,2,fluent,no,1
67,580200,424600,bachelors,travel,6,fluent,no,1
59,1160300,864500,phd,business,0,basic,no,1
47,243600,102700,bachelors,education,4,good,no,1
62,864100,713800,masters,travel,1,fluent,no,1
35,531300,264200,masters,medical,0,good,no,0
67,315400,109100,high_school,education,2,fluent,yes,0
53,2047600,1688900,high_school,travel,0,good,no,1
46,1115700,295300,masters,education,3,good,no,1
49,1060600,951300,high_school,business,1,good,no,1
53,1556900,949600,masters,travel,3,fluent,no,1
20,1299200,1086800,bachelors,business,7,good,no,1
26,678100,192700,bachelors,medical,0,good,no,0
33,1830300,808700,bachelors,education,8,fluent,no,1
25,1721700,1385900,phd,medical,0,fluent,no,1
45,995000,773900,masters,medical,0,basic,no,0
60,1124200,903700,masters,medical,0,good,no,1
59,902200,325100,masters,business,5,basic,no,1
47,778600,477400,bachelors,medical,4,basic,no,1
71,1055100,466600,phd,travel,9,good,no,1
53,933100,364500,bachelors,travel,4,basic,no,1
22,1969800,1063900,bachelors,travel,1,fluent,no,1
66,389900,267600,bachelors,travel,7,fluent,no,1
54,1418000,764100,bachelors,business,8,basic,no,1
57,794300,256500,masters,business,5,fluent,no,1
53,1520900,1149200,bachelors,business,2,fluent,no,1
52,809700,715200,masters,travel,6,good,no,1
23,1356200,572500,phd,medical,0,fluent,no,1
53,693200,545500,bachelors,travel,7,good,no,1
68,208600,166400,high_school,travel,10,basic,no,1
37,2531300,874300,masters,travel,3,basic,no,1
55,321700,218400,high_school,travel,0,good,no,0
19,1018600,869700,masters,business,0,fluent,no,1
39,424100,298900,bachelors,education,8,good,no,1
45,362600,62600,bachelors,business,6,good,no,1
79,675900,407800,bachelors,education,4,basic,no,0
31,545800,400500,bachelors,education,8,fluent,no,1
35,397800,244100,bachelors,travel,2,basic,no,0
43,741900,127300,bachelors,medical,7,good,no,1
80,334800,80400,bachelors,business,0,fluent,no,0
71,1042200,782900,masters,medical,0,basic,no,0
20,503800,260000,high_school,education,2,basic,no,0
32,193300,167900,bachelors,education,1,good,no,0
69,405300,186900,high_school,education,1,good,no,0
21,978800,750000,bachelors,education,5,fluent,no,1
71,301100,53200,high_school,medical,0,fluent,no,0
35,1288900,1006300,masters,travel,4,basic,no,1
75,685500,544500,high_school,education,0,good,no,0
36,555700,234300,masters,education,6,basic,no,1
45,751400,287100,bachelors,travel,0,basic,yes,0
59,1190900,991300,bachelors,medical,4,good,no,1
25,333700,244700,high_school,travel,3,fluent,no,1
53,868600,519800,masters,travel,1,fluent,no,1
49,2034500,971000,phd,business,0,basic,no,1
67,337200,281200,high_school,business,0,fluent,no,1
80,1391200,988300,phd,education,1,good,no,1
59,417900,193300,bachelors,travel,0,fluent,no,1
43,692400,361800,bachelors,travel,0,good,no,1
43,1243600,278300,masters,business,4,fluent,no,1
44,144000,109200,high_school,travel,0,basic,no,0
69,563900,440600,bachelors,education,0,good,no,0
38,684300,285200,high_school,medical,1,good,no,0
28,1101300,421000,masters,business,2,good,no,1
39,567600,192500,bachelors,travel,2,good,no,1
19,529800,148400,masters,travel,3,good,no,1
24,1068900,920200,bachelors,travel,3,fluent,no,1
23,905100,651000,phd,travel,2,basic,no,1
66,729400,346500,high_school,travel,1,fluent,no,0
63,932500,216900,bachelors,travel,0,good,no,0
61,591500,150600,bachelors,travel,4,good,no,1
47,974700,665100,high_school,travel,1,good,no,1
63,389700,117800,high_school,travel,6,basic,no,0
28,1872000,769200,masters,education,3,fluent,no,1
74,1117600,969800,high_school,education,3,fluent,no,1
49,1347900,789700,bachelors,travel,2,fluent,no,1
77,978600,740100,phd,education,7,fluent,no,1
27,3070500,699800,bachelors,medical,1,good,no,1
49,587400,233700,high_school,business,1,good,no,1
61,617000,507000,high_school,travel,7,fluent,no,1
49,533800,404500,high_school,business,3,basic,no,1
46,406400,281500,bachelors,education,1,fluent,no,1
28,1982900,1171000,masters,business,0,good,no,1
42,552200,194200,bachelors,education,0,fluent,no,1
33,896100,527900,high_school,business,5,good,no,1
36,1431500,269200,bachelors,travel,0,good,no,1
61,1054200,318100,bachelors,medical,0,basic,no,0
57,517000,278500,bachelors,travel,0,good,no,1
56,895900,135700,phd,medical,9,good,no,1
40,173500,56200,bachelors,medical,2,basic,no,0
78,709600,187500,bachelors,medical,2,basic,no,0
23,1512500,618800,masters,business,7,fluent,no,1
39,853500,677500,masters,education,1,good,no,1
25,703100,605100,masters,business,5,fluent,no,1
39,825700,226100,masters,travel,4,basic,no,1
78,1476100,477200,bachelors,medical,2,good,no,0
41,734200,576500,bachelors,education,5,basic,no,1
75,2702400,755300,masters,travel,8,good,no,1
49,710600,501700,masters,travel,0,good,yes,0
62,1096100,234700,masters,education,0,good,no,1
46,596100,379300,bachelors,education,6,good,no,1
34,3044200,1063300,masters,travel,1,good,no,1
66,596500,424800,high_school,medical,2,basic,no,0
79,1741800,939800,high_school,business,0,good,no,1
34,600400,170600,bachelors,business,6,good,no,1
67,1752700,791600,bachelors,travel,4,good,no,1
34,1037900,556100,masters,medical,8,good,no,1
63,856100,767900,high_school,business,2,fluent,no,1
67,497300,253800,masters,business,9,good,yes,0
46,916300,241400,bachelors,business,2,good,no,1
64,300100,170000,high_school,medical,3,basic,no,0
35,871400,274600,bachelors,business,4,basic,no,1
22,328200,265700,bachelors,travel,2,good,yes,0
24,923600,716300,masters,medical,2,fluent,no,1
46,1382000,340600,bachelors,business,0,fluent,no,1
74,730300,431800,high_school,travel,1,good,no,0
26,383800,258100,bachelors,travel,4,basic,no,1
46,190200,64400,high_school,education,0,fluent,no,0
62,710200,440200,high_school,travel,4,basic,no,0
30,2578700,1281700,phd,travel,1,good,no,1
63,318000,162700,high_school,business,0,fluent,no,1
37,1712700,965100,high_school,education,4,good,no,1
68,969200,559800,masters,education,0,basic,no,0
54,331200,226000,masters,business,8,good,no,1
52,320600,156900,bachelors,travel,10,good,no,1
29,1155400,799500,bachelors,medical,2,basic,no,1
47,1160600,597100,phd,business,1,fluent,no,1
71,1221000,790100,high_school,business,0,good,no,1
19,279600,97100,high_school,travel,5,basic,no,0
65,1038200,577500,masters,travel,0,basic,no,1
49,976300,489100,masters,business,8,fluent,no,1
63,999000,376300,phd,travel,10,good,no,1
59,612900,120600,bachelors,business,0,fluent,no,1
45,885300,471500,phd,travel,4,good,no,1
37,832800,131000,bachelors,education,2,basic,no,1
57,1148800,508200,masters,travel,2,good,no,1
26,1117600,478300,masters,business,0,fluent,no,1
54,1048900,655900,high_school,education,4,good,no,1
23,279100,248600,high_school,business,0,fluent,no,1
58,279300,221600,bachelors,education,7,fluent,no,1
57,1701700,1499700,masters,travel,2,fluent,no,1
23,321600,277600,high_school,education,3,good,no,0
65,789400,162300,masters,business,7,fluent,no,1
44,540300,195300,bachelors,business,4,fluent,no,1
67,533900,199000,bachelors,travel,2,basic,no,0
20,339200,68900,bachelors,business,1,fluent,no,1
29,790100,620200,phd,business,2,fluent,no,1
49,772300,634400,high_school,education,1,good,no,1
29,754900,455800,bachelors,education,8,fluent,no,1
38,713200,583600,high_school,business,0,fluent,no,1
59,822700,564200,phd,medical,1,good,no,1
27,1598100,767800,masters,education,5,fluent,no,1
60,408600,107200,high_school,medical,1,basic,no,0
24,237200,206100,bachelors,education,7,basic,no,1
29,900400,602600,bachelors,education,0,good,no,1
55,1153800,479600,bachelors,travel,0,good,no,1
67,715100,176200,masters,education,3,good,no,1
28,1463100,1096200,bachelors,medical,2,fluent,no,1
36,473800,356100,bachelors,business,8,good,no,1
76,1406600,783800,masters,travel,1,basic,no,0
80,1975000,1777400,bachelors,business,0,fluent,no,1
54,551400,242500,high_school,medical,1,basic,no,0
46,477100,408700,high_school,travel,1,good,no,0
39,713800,444500,bachelors,education,3,good,no,1
56,1852500,1301000,bachelors,education,0,fluent,no,1
55,674400,565000,high_school,medical,2,good,no,0
36,2460300,1902700,bachelors,business,7,basic,no,1
19,882100,323300,bachelors,education,1,basic,no,0
27,678900,543400,masters,medical,3,basic,no,1
78,392000,217500,high_school,business,0,fluent,no,0
44,782600,143700,bachelors,education,5,fluent,no,1
48,175800,115200,high_school,travel,0,good,no,0
47,582600,305700,bachelors,travel,3,basic,no,1
67,421200,232700,high_school,travel,1,fluent,no,0
22,863200,395900,bachelors,business,0,good,no,1
23,2830000,560500,masters,business,1,fluent,yes,0
35,556900,158800,high_school,business,0,fluent,no,1
48,337800,242300,masters,business,7,good,no,1
60,457600,149000,bachelors,travel,0,good,no,0
48,873900,542500,bachelors,travel,9,basic,no,1
45,796200,443000,bachelors,business,2,good,no,1
77,1848600,584200,bachelors,education,0,fluent,no,1
28,1649200,594400,masters,education,1,fluent,no,1
54,1622300,710000,masters,travel,0,fluent,no,1
52,863200,699300,masters,medical,6,good,yes,0
47,1384700,1185300,bachelors,travel,0,basic,no,1
68,594200,261500,masters,education,6,fluent,no,1
34,920400,169900,high_school,business,0,fluent,no,1
78,647700,389100,bachelors,education,0,basic,no,0
38,243700,112900,high_school,medical,0,good,no,0
52,748800,388800,high_school,education,4,good,no,1
50,1631700,785600,bachelors,travel,2,good,no,1
71,777700,498500,masters,travel,8,basic,no,1
45,1276400,482900,high_school,travel,1,fluent,no,1
35,304300,249400,bachelors,education,0,good,no,1
19,391700,182500,bachelors,education,5,good,no,1
40,996900,405000,phd,medical,3,basic,no,1
70,793200,668000,masters,travel,6,fluent,no,1
18,374400,156700,high_school,business,1,good,no,0
74,581600,123500,high_school,travel,4,good,no,0
52,565700,150800,bachelors,business,0,good,no,1
26,443500,304100,high_school,business,10,fluent,no,1
37,1259600,720200,phd,travel,0,fluent,no,1
52,748600,412500,phd,education,6,good,no,1
37,1019500,215600,phd,business,0,fluent,no,1
24,530400,144800,bachelors,business,5,basic,no,1
59,501200,224100,masters,business,6,basic,no,1
60,1480400,719500,masters,medical,6,good,yes,0
25,1382300,597800,high_school,education,2,fluent,no,1
35,1358600,716100,bachelors,business,1,good,no,1
33,648500,454100,high_school,business,6,fluent,no,1
59,531600,333200,bachelors,travel,3,basic,no,1
64,923000,561600,phd,business,3,fluent,no,1
63,1739600,988700,masters,travel,0,good,no,1
77,215700,64900,bachelors,travel,1,fluent,no,0
66,619500,373900,bachelors,medical,1,good,no,0
38,809200,217500,high_school,business,3,fluent,no,1
24,404500,277000,bachelors,education,0,good,no,0
56,682100,333700,high_school,business,1,good,no,1
75,930800,545500,bachelors,medical,6,basic,no,1
79,437100,348400,masters,medical,2,fluent,no,0
32,1020300,438500,masters,education,7,good,no,1
32,692600,155700,masters,travel,0,fluent,no,1
20,679300,556000,high_school,business,1,basic,no,0
26,1405900,595700,masters,education,2,fluent,no,1
52,672900,306100,high_school,education,1,basic,no,0
52,787300,292900,bachelors,business,4,fluent,no,1
41,886800,412500,bachelors,travel,0,good,no,1
37,283000,153000,high_school,travel,2,basic,no,0
70,531300,415700,high_school,education,0,fluent,no,0
46,488200,336900,bachelors,education,3,good,no,1
68,953000,509800,high_school,travel,6,basic,no,1
78,1573700,1137600,phd,travel,0,basic,no,0
37,1099900,864300,bachelors,business,2,fluent,no,1
30,1941300,375900,bachelors,travel,2,good,no,1
78,901400,535600,phd,business,4,good,no,1
57,559300,102000,bachelors,education,0,fluent,no,1
36,622800,237300,bachelors,travel,1,basic,no,0
57,447700,323200,phd,travel,5,basic,no,1
50,233800,173800,high_school,business,2,fluent,no,1
75,760400,618100,high_school,business,4,basic,no,0
34,351200,183900,bachelors,travel,1,basic,no,0
80,418900,89300,bachelors,business,7,fluent,no,1
76,919700,225400,masters,business,0,good,no,1
29,430700,143500,high_school,education,0,good,no,0
28,1231300,528400,bachelors,travel,2,good,no,1
51,1005500,547900,masters,travel,2,good,no,1
20,696600,442000,phd,travel,3,fluent,no,1
36,922100,250700,high_school,education,0,good,no,0
45,806800,235400,high_school,travel,0,good,no,0
79,497400,139100,phd,education,4,good,no,1
80,869100,622500,bachelors,medical,0,good,no,0
27,364700,137300,high_school,education,4,basic,no,0
74,359400,98800,high_school,travel,3,basic,no,0
23,2719700,1287900,masters,education,0,fluent,no,1
65,810000,271900,bachelors,travel,4,good,no,1
71,671200,286600,bachelors,travel,6,good,no,1
74,1019200,782800,masters,travel,5,basic,no,1
32,874000,350000,high_school,travel,0,basic,no,0
74,367400,103300,high_school,business,2,good,no,0
25,565000,183300,bachelors,travel,7,good,no,1
50,1395800,245300,masters,business,3,good,no,1
47,328600,271400,bachelors,travel,0,basic,no,0
37,1677300,1128400,masters,travel,0,basic,no,1
19,223500,111200,high_school,medical,4,good,no,0
66,472000,269300,high_school,business,5,fluent,no,1
39,448600,152800,phd,travel,7,basic,no,1
59,302300,136900,high_school,travel,7,basic,no,1
43,1103200,430100,high_school,business,1,good,no,1
41,1727600,1327500,masters,business,3,basic,no,1
73,1425000,1008300,bachelors,business,0,fluent,no,1
23,341000,123800,bachelors,business,0,basic,no,1
64,545600,393800,masters,business,0,fluent,no,1
65,651400,143600,high_school,travel,7,fluent,no,1
41,1441500,435200,masters,travel,0,fluent,no,1
34,487400,112000,bachelors,business,2,fluent,no,1
18,393000,129200,high_school,business,1,good,no,0
77,522100,166900,masters,business,1,basic,no,0
77,1883200,1554400,bachelors,travel,2,basic,no,0
33,749000,296300,masters,travel,0,good,no,1
20,1099500,457800,phd,travel,1,basic,no,1
25,1018400,228900,masters,business,2,good,no,1
22,1389700,277200,bachelors,business,5,good,no,1
70,320000,100700,high_school,medical,4,basic,no,0
74,1849300,464000,masters,business,6,fluent,no,1
27,374400,152900,bachelors,business,1,fluent,no,1
65,1846700,534700,masters,business,0,fluent,no,1
29,378700,107400,masters,medical,1,fluent,no,0
41,714200,454000,bachelors,travel,8,basic,no,1
55,1321100,1131600,high_school,travel,0,basic,yes,0
63,1110100,176900,bachelors,medical,0,basic,no,0
73,953700,647700,bachelors,business,8,fluent,no,1
20,425000,273900,bachelors,medical,8,good,no,1
30,505000,297300,bachelors,business,0,basic,no,1
35,2037400,1363500,masters,travel,5,fluent,yes,0
37,980900,521400,bachelors,travel,1,basic,yes,0
80,881700,745200,high_school,travel,2,good,no,0
66,1012900,272100,masters,medical,2,good,yes,0
38,833000,420800,masters,business,8,fluent,no,1
79,1647600,1054100,phd,medical,0,good,no,0
49,623200,518200,high_school,travel,5,fluent,no,1
49,885900,456700,masters,travel,0,basic,yes,0
45,446900,394500,masters,medical,3,good,no,1
27,1643700,1055900,masters,business,3,fluent,no,1
76,963700,649900,bachelors,medical,5,good,no,1
18,387100,295600,high_school,travel,7,good,no,1
28,1447100,1013600,bachelors,education,5,fluent,no,1
32,865100,468900,bachelors,business,4,basic,no,1
35,874400,637800,bachelors,travel,0,good,no,1
26,1757300,310700,phd,education,10,fluent,no,1
19,780600,663200,high_school,travel,2,fluent,no,0
60,1270200,974700,phd,business,1,fluent,no,1
79,682000,428500,bachelors,business,2,fluent,no,1
25,2895900,583700,masters,medical,1,basic,no,1
36,505300,187600,bachelors,business,3,fluent,yes,0
49,1140200,387900,bachelors,education,1,good,no,1
76,722400,247600,bachelors,medical,0,good,no,0
61,1387800,907700,phd,business,7,good,yes,0
66,1064900,859500,high_school,business,7,fluent,no,1
54,455300,301100,high_school,education,2,good,no,1
44,1504800,664500,phd,business,8,fluent,no,1
30,625300,548300,high_school,travel,1,basic,no,0
72,531700,423700,bachelors,education,1,basic,yes,0
68,1079400,716800,high_school,travel,7,good,no,1
19,799000,358000,high_school,travel,3,basic,no,0
63,595700,394900,bachelors,education,5,fluent,no,1
23,1388100,633000,bachelors,travel,1,basic,no,0
64,478900,127600,bachelors,business,1,fluent,no,1
70,744600,457300,bachelors,travel,0,basic,no,0
26,768100,517400,masters,medical,8,basic,no,1
45,1633700,673000,phd,education,0,good,no,1
25,581100,492200,bachelors,travel,2,basic,no,0
53,1148100,907800,bachelors,travel,0,basic,no,1
76,1049100,616000,bachelors,business,3,good,no,1
23,791300,154400,masters,business,1,good,no,1
43,2069500,337100,bachelors,business,5,fluent,no,1
79,645600,406700,masters,medical,2,basic,no,0
36,348500,265000,bachelors,business,0,good,no,1
26,1211400,636300,bachelors,education,0,fluent,yes,0
48,298200,50000,masters,business,0,fluent,no,1
50,1718500,444400,bachelors,business,4,fluent,no,1
59,800100,246800,bachelors,travel,6,basic,no,1
37,345100,214200,bachelors,travel,1,fluent,no,1
78,449000,231000,bachelors,education,2,good,no,0
50,308000,69800,bachelors,medical,0,basic,no,0
36,1200600,631800,masters,medical,7,fluent,no,1
78,364600,292500,bachelors,business,8,fluent,no,1
76,712200,341400,high_school,education,5,good,yes,0
49,457000,119900,high_school,business,0,fluent,no,1
19,582500,339900,bachelors,medical,1,basic,no,0
55,1430100,1211400,phd,travel,10,fluent,no,1
52,1066000,252600,bachelors,travel,0,good,no,1
27,1420700,379800,bachelors,business,4,good,no,1
57,533900,307100,bachelors,business,8,good,no,1
70,1063200,430600,phd,business,5,basic,no,1
24,685800,563500,masters,medical,3,fluent,no,1
63,591000,404600,high_school,education,2,basic,no,0
26,493100,128400,bachelors,medical,7,basic,no,1
65,770300,618600,masters,business,1,fluent,no,1
44,772500,488000,masters,travel,7,good,no,1
18,889000,462500,bachelors,business,1,good,no,1
78,974200,333600,masters,travel,5,fluent,no,1
28,999400,636900,bachelors,travel,7,good,no,1
55,509500,419800,high_school,business,2,fluent,yes,0
29,392800,70300,high_school,travel,1,basic,no,0
76,840400,362500,bachelors,business,0,basic,no,1
64,326300,277900,high_school,travel,5,good,no,1
68,1034600,452300,bachelors,education,3,basic,no,1
45,831300,147100,masters,business,0,fluent,no,1
47,1088500,246100,masters,medical,6,basic,no,1
57,609900,407500,high_school,travel,7,fluent,yes,0
67,1303900,880300,high_school,education,7,fluent,no,1
71,1199800,283500,masters,education,3,fluent,no,1
19,787600,247600,bachelors,education,9,fluent,no,1
59,369200,211500,high_school,education,6,fluent,no,1
24,1512200,1005500,masters,medical,0,good,yes,0
36,465700,124600,high_school,travel,9,good,no,1
70,233500,114900,high_school,business,2,fluent,no,0
33,873700,499300,masters,business,7,fluent,no,1
68,840500,157400,bachelors,travel,5,fluent,no,1
47,482300,153300,bachelors,business,3,fluent,no,1
32,911400,764800,masters,business,1,good,no,1
39,1039100,841700,phd,business,0,fluent,yes,0
51,524000,205300,high_school,travel,0,fluent,no,0
66,1491800,1194900,bachelors,business,4,fluent,no,1
56,262700,164000,high_school,travel,6,fluent,no,1
76,2315300,2051900,bachelors,education,0,good,no,1
72,743000,649900,bachelors,education,0,fluent,yes,0
65,1040900,637800,bachelors,travel,4,basic,no,1
55,579700,290400,high_school,travel,0,fluent,no,0
36,376400,96600,masters,travel,0,basic,no,0
43,423100,231800,bachelors,travel,0,basic,no,0
25,729000,327100,masters,education,3,basic,no,1
41,1306700,828700,bachelors,business,3,good,no,1
76,454300,98600,masters,medical,6,basic,no,0
44,472500,366700,bachelors,business,1,fluent,no,1
25,828300,725000,bachelors,education,0,good,no,1
59,1261600,387300,masters,travel,5,fluent,no,1
78,1240800,775000,masters,business,9,good,no,1
72,440300,330900,bachelors,education,1,basic,no,0
35,314100,177700,bachelors,business,6,fluent,no,1
46,1017600,866600,bachelors,education,5,fluent,no,1
51,1663900,888400,bachelors,travel,7,good,no,1
33,625700,220800,bachelors,business,1,fluent,no,1
34,518200,261000,masters,business,0,fluent,no,1
32,597200,308100,bachelors,education,0,good,no,1
80,939600,319700,bachelors,business,5,fluent,no,1
64,665500,492600,bachelors,medical,6,good,no,1
70,2343400,1437200,phd,education,2,fluent,yes,0
69,1258200,538200,bachelors,education,0,good,no,1
78,598000,278800,high_school,business,0,basic,no,0
24,184400,79100,high_school,education,3,good,yes,0
73,664700,323000,masters,medical,7,good,no,1
22,559600,305600,bachelors,business,1,fluent,no,1
47,501700,199800,bachelors,travel,3,basic,no,1
55,600200,458300,high_school,business,2,fluent,no,1
40,1092600,924600,masters,travel,7,basic,no,1
27,301300,163300,bachelors,education,6,good,no,1
30,1177600,804900,bachelors,travel,0,fluent,no,1
69,545200,462300,high_school,travel,4,good,no,0
38,657800,193400,high_school,travel,6,basic,no,1
37,814000,237900,high_school,business,8,good,no,1
76,496200,101500,bachelors,business,3,good,no,0
27,1511900,728100,bachelors,medical,0,good,yes,0
75,499800,199100,high_school,travel,2,fluent,no,0
76,1738200,991500,bachelors,travel,3,good,no,1
55,330500,161400,high_school,education,0,good,yes,0
28,1668600,488300,bachelors,business,9,good,no,1
27,328700,145700,high_school,business,0,fluent,no,1
35,2195300,376900,high_school,business,7,good,no,1
54,320100,177000,high_school,medical,1,basic,no,0
27,1739200,614500,masters,education,0,fluent,no,1
46,885400,207400,phd,travel,2,good,no,1
25,1121000,223500,bachelors,business,3,good,no,1
52,528500,362500,high_school,business,6,basic,no,1
19,593000,199000,phd,travel,2,fluent,no,1
62,232100,149500,phd,travel,0,basic,no,0
21,3004600,2288400,bachelors,medical,7,good,no,1
30,562500,295300,high_school,education,2,fluent,no,1
29,192700,48100,masters,travel,0,good,no,0
70,1276400,779800,phd,education,7,fluent,no,1
21,1421300,289500,masters,medical,0,basic,no,0
45,510500,389400,bachelors,travel,0,good,no,1
55,512400,369500,bachelors,travel,2,fluent,no,1
50,1069000,482700,phd,medical,3,good,no,1
60,1047000,368400,high_school,business,2,fluent,no,1
68,570900,389400,high_school,medical,7,basic,no,1
42,2175000,1251500,masters,business,0,fluent,no,1
70,1006700,260600,high_school,travel,10,fluent,no,1
38,667100,479900,bachelors,education,0,fluent,no,1
80,318900,127700,bachelors,travel,0,fluent,no,0
49,477000,391300,high_school,travel,0,good,no,0
64,721800,557300,high_school,travel,0,good,no,0
73,781800,279000,bachelors,business,1,good,no,1
67,1072400,366200,bachelors,business,6,fluent,no,1
71,1216300,545400,bachelors,business,6,fluent,no,1
51,1013000,763200,bachelors,travel,4,good,no,1
20,928900,230400,phd,travel,0,basic,no,0
49,1006900,389700,bachelors,business,6,fluent,no,1
29,3695600,2381200,phd,medical,1,good,no,1
74,333400,58400,bachelors,travel,4,fluent,no,0
32,706500,135600,high_school,travel,4,basic,no,0
32,2664100,1922500,masters,travel,0,basic,no,1
33,509800,276200,masters,business,2,good,no,1
58,937200,532500,high_school,education,7,basic,no,1
53,1412100,475400,bachelors,travel,0,fluent,no,1
77,431700,236900,masters,business,4,good,no,1
44,799500,446700,high_school,medical,8,good,no,1
35,651600,300000,bachelors,education,1,good,no,1
21,522700,456500,high_school,education,1,good,no,0
18,451900,84500,high_school,medical,2,fluent,no,0
41,2002200,923400,masters,medical,5,good,no,1
76,711300,564100,bachelors,travel,1,basic,no,0
50,753900,229700,masters,travel,2,basic,no,1
